# wavelength [um]  Flux1(normalized)   Flux2 (normalized)
    1.10      0.72     0.75
    1.11      0.73     0.70
    1.11      0.69     0.65
    1.11      0.68     0.62
    1.12      0.66     0.70
    1.12      0.69     0.69
    1.13      0.66     0.70
    1.13      0.63     0.72
    1.14      0.63     0.66
    1.14      0.63     0.66
    1.14      0.65     0.65
    1.15      0.69     0.72
    1.15      0.69     0.73
    1.16      0.67     0.72
    1.16      0.66     0.72
    1.17      0.66     0.67
    1.17      0.65     0.62
    1.17      0.64     0.66
    1.18      0.67     0.67
    1.18      0.74     0.75
    1.19      0.78     0.81
    1.19      0.80     0.83
    1.19      0.81     0.86
    1.20      0.82     0.88
    1.20      0.83     0.92
    1.21      0.87     0.91
    1.21      0.90     0.95
    1.22      0.93     0.95
    1.22      0.94     1.00
    1.22      0.98     1.02
    1.23      0.98     1.01
    1.23      0.97     1.00
    1.24      0.97     0.97
    1.24      0.99     1.01
    1.25      0.96     0.95
    1.25      1.00     1.00
    1.26      1.04     1.02
    1.26      1.09     1.06
    1.26      1.08     1.06
    1.27      1.09     1.07
    1.27      1.07     1.09
    1.28      1.08     1.10
    1.28      1.04     1.07
    1.29      1.08     1.06
    1.29      1.06     1.07
    1.29      1.08     1.09
    1.30      1.07     1.07
    1.30      1.07     1.05
    1.31      1.06     1.05
    1.31      1.06     1.01
    1.32      1.04     1.01
    1.32      1.02     1.00
    1.32      0.93     0.91
    1.33      0.83     0.82
    1.33      0.64     0.60
    1.34      0.51     0.44
    1.34      0.42     0.38
    1.35      0.42     0.31
    1.35      0.40     0.28
    1.35      0.43     0.31
    1.36      0.36     0.26
    1.36      0.34     0.30
    1.37      0.27     0.40
    1.37      0.31     0.43
    1.38      0.39     0.36
    1.38      0.36     0.45
    1.38      0.37     0.37
    1.39      0.33     0.36
    1.39      0.34     0.41
    1.40      0.33     0.37
    1.40      0.30     0.37
    1.41      0.29     0.39
    1.41      0.30     0.35
    1.41      0.26     0.31
    1.42      0.28     0.28
    1.42      0.29     0.25
    1.43      0.30     0.29
    1.43      0.29     0.29
    1.44      0.31     0.34
    1.44      0.32     0.30
    1.44      0.32     0.37
    1.45      0.35     0.36
    1.45      0.37     0.41
    1.46      0.41     0.39
    1.46      0.43     0.45
    1.47      0.44     0.44
    1.47      0.41     0.47
    1.47      0.44     0.44
    1.48      0.43     0.46
    1.48      0.47     0.48
    1.49      0.46     0.53
    1.49      0.49     0.50
    1.49      0.50     0.53
    1.50      0.52     0.57
    1.50      0.54     0.57
    1.51      0.58     0.55
    1.51      0.58     0.60
    1.52      0.61     0.64
    1.52      0.63     0.66
    1.52      0.66     0.70
    1.53      0.67     0.67
    1.53      0.70     0.72
    1.54      0.70     0.75
    1.54      0.74     0.75
    1.54      0.76     0.78
    1.55      0.79     0.80
    1.55      0.80     0.83
    1.56      0.82     0.84
    1.56      0.81     0.82
    1.56      0.85     0.82
    1.57      0.86     0.85
    1.57      0.89     0.88
    1.58      0.86     0.90
    1.58      0.88     0.95
    1.59      0.88     0.91
    1.59      0.88     0.88
    1.59      0.89     0.92
    1.60      0.91     0.90
    1.60      0.89     0.90
    1.61      0.89     0.91
    1.61      0.88     0.91
    1.61      0.86     0.89
    1.62      0.84     0.87
    1.62      0.87     0.88
    1.63      0.84     0.87
    1.63      0.84     0.85
    1.63      0.82     0.86
    1.64      0.83     0.83
    1.64      0.82     0.86
    1.65      0.86     0.87
    1.65      0.85     0.88
    1.65      0.85     0.86
    1.66      0.85     0.88
    1.66      0.85     0.84
    1.66      0.82     0.83
    1.67      0.82     0.79
    1.67      0.79     0.79
    1.68      0.80     0.80
    1.68      0.80     0.81
    1.68      0.81     0.81
    1.69      0.81     0.79
    1.69      0.81     0.81
    1.70      0.79     0.81
    1.70      0.80     0.78
